support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
0.082,"frozenset({'race/ethnicity=3', 'test preparation course=0'})",8,16,2,56,2,82.0,0.6666666666666666,0.034482758620689655,0.7804878048780488,0.2195121951219512,-0.21796342533234359,0.3537832310838445,0.062487804878048836,-0.062487804878048836,3.6223972293422166,6.00671291876927,1.182796928134726,1.1827969281347266
0.082,"frozenset({'parental level of education=0', 'test preparation course=0'})",7,16,4,55,2,82.0,0.6956521739130435,0.06779661016949153,0.7560975609756098,0.24390243902439024,-0.18464957378354174,0.38276873833022135,0.03809756097560979,-0.03809756097560979,3.9038482016200784,4.310732188147426,0.6609866001961785,0.6609866001961785
0.08,"frozenset({'gender=0', 'parental level of education=0', 'lunch=1'})",17,10,15,38,3,80.0,0.37037037037037035,0.2830188679245283,0.6875,0.3125,0.03057268397149504,0.05748693478754824,-0.03049999999999997,0.03049999999999997,0.7214011347527394,0.5890993356685705,0.6533214241404897,0.6533214241404885
0.08,"frozenset({'race/ethnicity=4', 'test preparation course=1'})",13,20,6,41,2,80.0,0.6060606060606061,0.1276595744680851,0.675,0.32499999999999996,-0.12478660948494816,0.29317717047778397,-0.04299999999999993,0.04299999999999993,3.3973937863506425,2.082940911864841,0.8752851664485307,0.8752851664485297
0.079,"frozenset({'parental level of education=4', 'lunch=0'})",39,12,11,17,2,79.0,0.23529411764705882,0.39285714285714285,0.7088607594936709,0.2911392405063291,0.1404109589041096,-0.07758931793576329,-0.009139240506329083,0.009139240506329083,1.0995264437417118,1.627757057922336,0.26457229475328314,0.26457229475328314
0.078,"frozenset({'race/ethnicity=3', 'gender=0', 'lunch=1'})",4,18,4,52,3,78.0,0.8181818181818182,0.07142857142857142,0.717948717948718,0.28205128205128205,-0.18101761252446183,0.5052983825989961,-5.1282051282020014e-05,5.1282051282020014e-05,5.699308394320086,4.051424891970196,0.09691877350729132,0.09691877350729132
0.078,"frozenset({'race/ethnicity=1', 'lunch=1', 'test preparation course=1'})",39,8,18,13,3,78.0,0.1702127659574468,0.5806451612903226,0.6666666666666666,0.33333333333333337,0.32819897733728937,-0.1426706696253753,-0.05133333333333334,0.05133333333333334,2.2172010124524153,3.7092427559555103,1.0116893979486792,1.0116893979486792
0.078,"frozenset({'parental level of education=0', 'race/ethnicity=2'})",24,9,19,26,2,78.0,0.2727272727272727,0.4222222222222222,0.6410256410256411,0.3589743589743589,0.16977603826918897,-0.040156162855549404,-0.07697435897435889,0.07697435897435889,0.35743433244945594,2.329171145642123,1.44854342892889,1.4485434289288912
0.077,"frozenset({'test preparation course=0', 'parental level of education=5'})",25,10,9,33,2,77.0,0.2857142857142857,0.21428571428571427,0.7532467532467533,0.24675324675324672,-0.03816046966731898,-0.027169149868536413,0.035246753246753304,-0.035246753246753304,0.21220463410352938,0.39997252792218374,0.5778942494142617,0.5778942494142617
0.077,"frozenset({'parental level of education=0', 'lunch=0'})",36,8,13,20,2,77.0,0.18181818181818182,0.3939393939393939,0.7272727272727273,0.2727272727272727,0.14149320998636067,-0.1310652537646403,0.009272727272727321,-0.009272727272727321,1.9176691347315367,1.7477374428438799,0.07590502395792716,0.07590502395792609
0.077,"frozenset({'test preparation course=0', 'parental level of education=4'})",6,14,3,54,2,77.0,0.7,0.05263157894736842,0.7792207792207793,0.22077922077922074,-0.19981460500566484,0.38711656441717784,0.06122077922077929,-0.06122077922077929,3.705927976436639,4.923243477178958,1.1139685283563252,1.1139685283563252
